author,title,description,url,source,image,category,language,country,published_at
Devanjana Nag,"Rawalpir Lighthouse inaugurated! From better port facilities to tourism boost, see benefits here",The inauguration of the lighthouse at Rawalpir in Mandvi will not only increase Port Facility but will also give a boost to tourism.,https://www.financialexpress.com/infrastructure/rawalpir-lighthouse-inaugurated-from-better-port-facilities-to-tourism-boost-see-benefits-here/2354010/,The Financial Express,https://images.financialexpress.com/2021/10/lighthouse-1200.jpg,business,en,us,2021-10-21T08:21:00+00:00
Peter Laca,Mystery Around Czech President’s Health Leaves Nation in Limbo,Mystery Around Czech President’s Health Leaves Nation in Limbo,https://www.bloombergquint.com/politics/mystery-around-czech-president-s-health-leaves-nation-in-limbo,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T08:20:46+00:00
William Horobin,"France’s Crisis Loans to Cost Less Than Expected, Le Maire Says","France’s Crisis Loans to Cost Less Than Expected, Le Maire Says",https://www.bloombergquint.com/onweb/france-s-crisis-loans-to-cost-less-than-expected-le-maire-says,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T08:31:41+00:00
,Warning: RVNC is at high risk of performing badly,Warning: RVNC is at high risk of performing badly,https://seekingalpha.com/warnings/3755919-warning-rvnc-is-high-risk-of-performing-badly?utm_source=feed_news_all&utm_medium=referral,Seeking Alpha,,business,en,us,2021-10-21T08:36:35+00:00
,Warning: TMSNY is at high risk of performing badly,Warning: TMSNY is at high risk of performing badly,https://seekingalpha.com/warnings/3755918-warning-tmsny-is-high-risk-of-performing-badly?utm_source=feed_news_all&utm_medium=referral,Seeking Alpha,,business,en,us,2021-10-21T08:35:49+00:00
zee business,"Amazon Dhanteras 2021 offers: Check discounts on gold and silver coins, jewellery, electronics and more",The shopaholics can login to the official website of Amazon at amazon.in to check out the various discounts and offers on the products that Amazon is offering this Dhanteras. ,https://www.zeebiz.com/personal-finance/news-amazon-dhanteras-2021-offers-check-discounts-on-gold-and-silver-coins-jewellery-electronics-and-more-168402,Zee Business,,business,en,us,2021-10-21T08:36:18+00:00
,"Amazon Great Indian Festival: Check out offers on phones, appliances, TVs, more","As part of its month-long festive deals, the ‘Extra Happiness Days Sale’ has been launched from 18th to 25th October 2021.",https://www.businesstoday.in/latest/trends/story/amazon-great-indian-festival-check-out-offers-on-phones-appliances-tvs-more-310014-2021-10-21?utm_source=rssfeed,Business Today | Latest Stock Market And Economy News India,,business,en,in,2021-10-21T08:40:07+00:00
zee business,"CBDT issues Rs 92,961 crore in refunds to more than 63.23 lakh taxpayers","The Central Board of Direct Taxes (CBDT) has issued refunds of over Rs 92,961 crore to more than 63.23 lakh taxpayers in the current financial year till October 18, 2021.",https://www.zeebiz.com/personal-finance/income-tax/news-cbdt-issues-rs-92961-crore-in-refunds-to-more-than-6323-lakh-taxpayers-168403,Zee Business,,business,en,us,2021-10-21T08:40:36+00:00
FE Online,India has scripted history says PM Modi after inoculation of 100 crore vaccine doses,"PM Modi termed the milestone a triumph of Indian science, enterprise and collective spirit of 130 crore people of the country.",https://www.financialexpress.com/lifestyle/health/india-has-scripted-history-says-pm-modi-after-inoculation-of-100-crore-vaccine-doses/2353976/,The Financial Express,https://images.financialexpress.com/2021/10/z2-8.jpg,business,en,us,2021-10-21T08:49:00+00:00
Reuters,S.Korea launches first domestically produced space rocket,"GOHEUNG &#8212; South Korea&#8217;s first domestically built space rocket blasted off on Thursday in a test launch that represents a major leap for the country&#8217;s ambitious space plans. The three-stage KSLV-II Nuri rocket, emblazoned with the national flag, carried a dummy satellite on its launch from the Naro Space Center at 5 p.m. (0800 GMT). [&#8230;]",https://financialpost.com/pmn/business-pmn/s-korea-launches-first-domestically-produced-space-rocket,Financial Post | Canada Business News,,business,en,us,2021-10-21T08:55:35+00:00
Temitayo Ayetoto,Free diabetes screening open to 10 million in Ogun,"Free diabetes screening will open to 10 million Nigerians as the Olusegun Obasanjo Foundation marks this year’s World Diabetes Day in Ogun. People can walk in and have a free check of their diabetes status, as well as, some other chronic diseases at the MKO Abiola Stadium and the Olusegun Obasanjo Presidential Library Complex from [&#8230;]",https://businessday.ng/health/article/free-diabetes-screening-open-to-10-million-in-ogun/,Businessday | News You Can Trust,,business,en,us,2021-10-21T08:55:30+00:00
Debora Marcus,Why and How to Buy Cardano,"Investing in cryptocurrency is a mainstream choice today. While most novice traders are focused on Bitcoin, we recommend you take into consideration other options as well. In this article, we will tell you about ADA ― a cryptocurrency with huge potential ― and provide simple guidelines on how to purchase it. The cryptocurrency mentioned is [&#8230;]The post Why and How to Buy Cardano appeared first on ABC Money.",https://www.abcmoney.co.uk/2021/10/21/why-and-how-to-buy-cardano/,ABC Money,,business,en,uk,2021-10-21T09:09:15+00:00
Financial Times,The Future of Money by Eswar Prasad — balances of power,"Bitcoin might have unleashed a revolution but, like so many revolutions, it might have now come full circle",https://financialpost.com/fp-finance/cryptocurrency/the-future-of-money-by-eswar-prasad-balances-of-power,Financial Post | Canada Business News,,business,en,us,2021-10-21T09:00:49+00:00
Stephanie Hughes,Why people are paying real money for virtual real estate in the metaverse,"These virtual properties could be vacant parcels for creators to build on, or structures that reflect real-life properties and completely original creations",https://financialpost.com/fp-finance/cryptocurrency/why-people-are-paying-real-money-for-virtual-real-estate-in-the-metaverse,Financial Post | Canada Business News,,business,en,us,2021-10-21T09:00:39+00:00
Special to Financial Post,"Bitcoin reaches new all-time high above US$66,000 on launch of U.S. ETF","Crypto roundup: Plus, the Associated Press gets deeper into the NFT game",https://financialpost.com/fp-finance/cryptocurrency/bitcoin-reaches-new-all-time-high-above-us66000-on-launch-of-u-s-etf,Financial Post | Canada Business News,,business,en,us,2021-10-21T09:00:15+00:00
Bernhard Warner,"After hitting all-time highs, stocks and crypto pull back in choppy trading",The Dow and Bitcoin hit fresh records on Wednesday. Read More,https://fortune.com/2021/10/21/dow-djia-btc-bitcoin-rally-new-records-tsla/,Fortune,,business,en,us,2021-10-21T09:14:43+00:00
Debora Marcus,5 Benefits of Reading a Finance Blog,"The internet is full of blogs that are just waiting to be read. Are you thinking about following a few finance blogs? From learning about the latest trends to making new connections, there are so many benefits you can enjoy when you keep up with finance blogs. With so many out there, you can choose [&#8230;]The post 5 Benefits of Reading a Finance Blog appeared first on ABC Money.",https://www.abcmoney.co.uk/2021/10/21/5-benefits-of-reading-a-finance-blog/,ABC Money,,business,en,uk,2021-10-21T09:14:11+00:00
Kshitij Bhargava,Buy these 3 insurance stocks for as much as 46% gains; sector entering multi-decade growth era,India’s insurance sector is sitting at the cusp of entering a multi-decade growth era.,https://www.financialexpress.com/market/buy-these-3-insurance-stocks-for-as-much-as-46-gains-sector-entering-multi-decade-growth-era/2354070/,The Financial Express,https://images.financialexpress.com/2021/10/Stock-REUT-6.jpg,business,en,us,2021-10-21T09:26:00+00:00
Nick Toscano,BHP tries to make nickel greener as carmakers count climate cost,"Electric carmakers are ratcheting up scrutiny of climate and environmental impacts across their battery supply chains, driving BHP to explore new technology.",https://www.smh.com.au/business/companies/bhp-tries-to-make-nickel-greener-as-carmakers-count-climate-cost-20211021-p591zu.html?ref=rss&utm_medium=rss&utm_source=rss_business,The Sydney Morning Herald,,business,en,au,2021-10-21T09:30:00+00:00
,Elon Musk's Tesla reports record sales and profits,"The electric car maker recorded its highest quarterly profit of $1.6bn and sold more than 240,000 cars.",https://www.bbc.co.uk/news/business-58993848?at_medium=RSS&at_campaign=KARANGA,BBC News - Business,,business,en,gb,2021-10-21T09:27:33+00:00
zee business,Havells India share price slips 10% on the back of weak margins and profit during Q2FY22,"On the back of weak margins and net profit during the second quarter of the financial year 2021-22 (Q2FY22), the shares of the consumer electronics company — Havells India slipped 10 per cent to hit a day’s low level of Rs 1264.85 per share on the BSE intraday trade on Thursday.  ",https://www.zeebiz.com/market-news/news-havells-india-share-price-slips-10-on-the-back-of-weak-margins-and-profit-during-q2fy22-168409,Zee Business,,business,en,us,2021-10-21T09:33:48+00:00
Manish Saini,At-home dermal filler pens can have serious adverse events – warns FDA,"Lip plumping and wrinkle-free foreheads are all part of the promise of dermal fillers, which are most reliably performed at a cosmetic surgeon&#8217;s clinic. According to the US Food and Drug Administration, cheaper, unapproved &#8220;at home&#8221; dermal filler pens purchased without a prescription are a considerably more risky option. Without the need of a needle, [&#8230;]The post At-home dermal filler pens can have serious adverse events &#8211; warns FDA appeared first on Revyuh.",https://www.revyuh.com/news/lifestyle/health-and-fitness/at-home-dermal-filler-pens-can-have-serious-adverse-events-warns-fda/,Revyuh Media,,business,en,us,2021-10-21T09:41:01+00:00
Neil,India races to vaccinate all adults after 1B doses,,https://www.bworldonline.com/india-races-to-vaccinate-all-adults-after-1b-doses/,Business World,,business,en,us,2021-10-21T09:45:31+00:00
zee business,"e-Shram Card Registration: Can same mobile number be used for multiple registrations? What CSC says? - Check benefits, registration process, documents detail here",e-Shram is a centralized database of unorganized workers seeded with Aadhaar.,https://www.zeebiz.com/personal-finance/news-e-shram-card-registration-can-same-mobile-number-be-used-for-multiple-registrations-what-csc-says-check-benefits-registration-process-documents-detail-here-168410,Zee Business,,business,en,us,2021-10-21T09:50:34+00:00
Reuters,"G20 split over coal, 1.5 degree climate limit ahead of Rome summit – sources","ROME &#8212; The Group of 20 rich countries are divided over phasing out coal and committing to limit global warming to 1.5 degrees Celsius as they prepare for a crucial summit in Rome next week, sources familiar with the negotiations said. The need to curb emissions will be high on the agenda of the Rome [&#8230;]",https://financialpost.com/pmn/business-pmn/g20-split-over-coal-1-5-degree-climate-limit-ahead-of-rome-summit-sources-2,Financial Post | Canada Business News,,business,en,us,2021-10-21T09:51:46+00:00
Devanjana Nag,Pending demands of Indian Railways projects in Marathwada region to get priority,There are seven key projects undertaken by the Ministry of Railways. These railway projects are to be completed by the year 2024.,https://www.financialexpress.com/infrastructure/railways/pending-demands-of-indian-railways-projects-in-marathwada-region-to-get-priority/2354021/,The Financial Express,https://images.financialexpress.com/2021/10/mp-1200.jpg,business,en,us,2021-10-21T09:57:00+00:00
Alex Millson,Hundreds Sick as Onion-Linked Salmonella Outbreak Hits 37 States,Hundreds Sick as Onion-Linked Salmonella Outbreak Hits 37 States,https://www.bloombergquint.com/business/hundreds-sick-as-onion-linked-salmonella-outbreak-hits-37-states,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T09:56:01+00:00
,"Dow EPS beats by $0.19, beats on revenue","Dow EPS beats by $0.19, beats on revenue",https://seekingalpha.com/news/3755939-dow-eps-beats-0_19-beats-on-revenue?utm_source=feed_news_all&utm_medium=referral,Seeking Alpha,,business,en,us,2021-10-21T10:06:23+00:00
,First Trust Mortgage Income Fund declares $0.055 dividend,First Trust Mortgage Income Fund declares $0.055 dividend,https://seekingalpha.com/news/3755934-first-trust-mortgage-income-fund-declares-missing-dividend?utm_source=feed_news_all&utm_medium=referral,Seeking Alpha,,business,en,us,2021-10-21T10:06:04+00:00
,KnowBe4 acquires SecurityAdvisor in stock and cash deal of ~$80M,KnowBe4 acquires SecurityAdvisor in stock and cash deal of ~$80M,https://seekingalpha.com/news/3755941-knowbe4-acquires-securityadvisor-in-stock-and-cash-deal-of-80m?utm_source=feed_news_all&utm_medium=referral,Seeking Alpha,,business,en,us,2021-10-21T10:11:53+00:00
Mike Butcher,"Watch Edward Snowden launch Global Encryption Day, live today","Marginalized communities, survivors of abuse, politicians, law enforcement &#8211; they all use encrypted communications to keep their information safe. But the encryption of the kinds of services you and I use every day &#8211; from messaging to confidential internal company communications &#8211; is increasingly under threat by governments globally. The reasons are sometimes understandable, such [&#8230;]",https://techcrunch.com/2021/10/21/watch-edward-snowden-launch-global-encryption-day-live-today/,TechCrunch,,technology,en,us,2021-10-21T10:18:50+00:00
